Lat,Long,Lat,Long
52.4977,13.3956,52.5650,13.3937
52.5071,13.3023,52.5650,13.3937
52.5071,13.3023,52.5029,13.3401
52.5650,13.3937,52.5029,13.3401
52.5650,13.3937,52.5029,13.3401
52.5029,13.3401,52.5029,13.3401
52.5029,13.3401,52.5029,13.3401
52.5029,13.3401,52.5016,13.2766
52.4958,13.3950,52.5016,13.2766
52.4958,13.3950,52.5016,13.2766
52.4958,13.3950,52.5067,13.3913
52.4958,13.3950,52.5067,13.3913
52.5016,13.2766,52.5111,13.4013
52.5016,13.2766,52.5111,13.4013
52.5016,13.2766,52.5111,13.4013
52.5067,13.3913,52.5111,13.4013
52.5067,13.3913,52.5111,13.4013
52.5067,13.3913,52.5111,13.4013
52.5067,13.3913,52.5111,13.4013
52.5111,13.4013,52.4597,13.4572
52.5111,13.4013,52.4597,13.4572
52.5111,13.4013,52.4597,13.4572
52.5111,13.4013,52.5027,13.3752
52.5111,13.4013,52.5027,13.3752
52.4597,13.4572,52.5027,13.3752
52.4597,13.4572,52.5027,13.3752
52.4597,13.4572,52.5013,13.4780
52.5027,13.3752,52.5013,13.4780
52.5027,13.3752,52.4640,13.3174
52.5027,13.3752,52.4999,13.3310
52.5027,13.3752,52.4999,13.3310
52.5027,13.3752,52.5170,13.3550
52.5013,13.4780,52.5170,13.3550
52.5013,13.4780,52.5170,13.3550
52.5013,13.4780,52.5060,13.3115
52.5013,13.4780,52.4990,13.3076
52.4640,13.3174,52.4990,13.3076
52.4999,13.3310,52.4990,13.3076
52.4999,13.3310,52.4990,13.3076
52.4999,13.3310,52.4990,13.3076
52.4999,13.3310,52.5182,13.4289
52.5170,13.3550,52.5182,13.4289
52.5170,13.3550,52.5182,13.4289
52.5170,13.3550,52.5182,13.4289
52.4990,13.3076,52.5182,13.4289
52.4990,13.3076,52.5182,13.4289
52.4990,13.3076,52.5330,13.3980
52.4990,13.3076,52.5330,13.3980
52.4990,13.3076,52.5293,13.4050
52.4990,13.3076,52.5293,13.4050
52.4990,13.3076,52.5293,13.4050
52.4990,13.3076,52.4980,13.3622
52.5182,13.4289,52.4980,13.3622
52.5182,13.4289,52.4980,13.3622
52.5182,13.4289,52.4980,13.3622
52.5182,13.4289,52.4980,13.3622
52.5182,13.4289,52.4980,13.3622
52.5182,13.4289,52.4980,13.3622
52.5330,13.3980,52.4980,13.3622
52.5330,13.3980,52.5010,13.3136
52.5293,13.4050,52.5090,13.3265
52.5293,13.4050,52.5090,13.3265
52.5293,13.4050,52.5230,13.4086
52.5293,13.4050,52.5230,13.4086
52.4980,13.3622,52.5230,13.4086
52.4980,13.3622,52.5230,13.4086
52.4980,13.3622,52.5215,13.3282
52.4980,13.3622,52.4967,13.3241
52.5010,13.3136,52.4967,13.3241
52.5090,13.3265,52.4967,13.3241
52.5090,13.3265,52.4967,13.3241
52.5090,13.3265,52.5110,13.3032
52.5090,13.3265,52.5110,13.3032
52.5230,13.4086,52.5475,13.4130
52.5090,13.3265,52.5475,13.4130
52.5215,13.3282,52.4980,13.2967
52.5215,13.3282,52.4980,13.2967
52.4967,13.3241,52.4923,13.4585
52.4967,13.3241,52.4923,13.4585
52.4967,13.3241,52.4923,13.4585
52.4853,13.3310,52.4923,13.4585
52.5475,13.4130,52.4923,13.4585
52.5475,13.4130,52.4923,13.4585
52.4980,13.2967,52.5172,13.4406
52.4923,13.4585,52.5172,13.4406
52.4923,13.4585,52.5172,13.4406
52.4923,13.4585,52.5172,13.4406
52.4923,13.4585,52.5172,13.4406
52.5172,13.4406,52.5172,13.4406
52.5172,13.4406,52.5132,13.2862
52.5172,13.4406,52.4310,13.2585
52.4320,13.5550,52.5114,13.4167
52.4310,13.2585,52.5114,13.4167
52.5114,13.4167,52.5430,13.3662
52.5114,13.4167,52.5430,13.3662
52.5114,13.4167,52.4620,13.3260
52.5114,13.4167,52.5140,13.3360
52.5430,13.3662,52.5140,13.3360
52.5430,13.3662,52.5140,13.3360
52.5140,13.3360,52.5140,13.3360
52.5140,13.3360,52.5140,13.3360
52.5030,13.3653,52.5030,13.3653
52.5164,13.4540,52.5030,13.3653
52.5626,13.3301,52.5164,13.4540
52.5626,13.3301,52.5164,13.4540
52.5626,13.3301,52.4200,13.1603
52.5303,13.3839,52.4824,13.2898
52.5303,13.3839,52.5626,13.3301
52.5303,13.3839,52.5626,13.3301
52.5170,13.3440,52.5626,13.3301
52.5170,13.3440,52.5303,13.3839
52.5210,13.3720,52.5303,13.3839
52.5210,13.3720,52.5303,13.3839
52.5256,13.4208,52.5170,13.3440
52.5256,13.4208,52.5170,13.3440
52.5256,13.4208,52.5256,13.4208
52.5130,13.2808,52.5256,13.4208
52.5120,13.4088,52.5256,13.4208
52.5120,13.4088,52.5256,13.4208
52.5170,13.3856,52.5130,13.2808
52.5170,13.3856,52.5170,13.3856
52.5170,13.3856,52.5170,13.3856
52.5170,13.3856,52.5170,13.3856
52.5170,13.3856,52.5253,13.4035
52.5170,13.3856,52.5051,13.3184
52.5253,13.4035,52.5051,13.3184
52.5253,13.4035,52.5051,13.3184
52.5253,13.4035,52.4723,13.3667
52.4608,13.4164,52.4723,13.3667
52.5051,13.3184,52.4723,13.3667
52.5051,13.3184,52.4723,13.3667
52.4723,13.3667,52.4723,13.3667
52.4723,13.3667,52.4723,13.3667
52.4723,13.3667,52.4723,13.3667
52.4384,13.3880,52.4384,13.3880
52.5033,13.4689,52.5033,13.4689
52.5033,13.4689,52.5033,13.4689
52.5033,13.4689,52.5033,13.4689
52.5033,13.4689,52.5092,13.3899
52.5033,13.4689,52.5092,13.3899
52.5033,13.4689,52.5092,13.3899
52.5092,13.3899,52.5092,13.3899
52.5092,13.3899,52.5092,13.3899
52.5092,13.3899,52.5092,13.3899
52.5092,13.3899,52.5092,13.3899
52.5092,13.3899,52.5092,13.3899
52.5092,13.3899,52.4940,13.3098
52.5092,13.3899,52.4940,13.3098
52.5092,13.3899,52.4620,13.4084
52.4940,13.3098,52.4620,13.4084
52.4940,13.3098,52.5106,13.4293
52.4620,13.4084,52.4947,13.4620
52.4620,13.4084,52.5224,13.3420
52.5106,13.4293,52.5224,13.3420
52.5106,13.4293,52.5320,13.3805
52.5086,13.3228,52.5320,13.3805
52.5086,13.3228,52.5320,13.3805
52.5224,13.3420,52.5214,13.4135
52.5320,13.3805,52.5214,13.4135
52.5320,13.3805,52.5214,13.4135
52.3718,13.1360,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
52.5214,13.4135,52.5214,13.4135
