UserID,Latitude,Longitude,ClusterID
b8ca003e68bc5e420942e6804a2971a0f13bfbfc8a005638ae440b68c14538cc,52.507,13.302,132
b8ca003e68bc5e420942e6804a2971a0f13bfbfc8a005638ae440b68c14538cc,52.507,13.302,132
e2e27416b4b900284e8750cacb4b97210c06012f224ea60b9975954bbd047a35,52.521,13.414,206
e2e27416b4b900284e8750cacb4b97210c06012f224ea60b9975954bbd047a35,52.519,13.435,0
e2e27416b4b900284e8750cacb4b97210c06012f224ea60b9975954bbd047a35,52.518,13.44,0
e2e27416b4b900284e8750cacb4b97210c06012f224ea60b9975954bbd047a35,52.518,13.452,0
e2e27416b4b900284e8750cacb4b97210c06012f224ea60b9975954bbd047a35,52.521,13.459,0
ae72171b9166e168b735d7cd2d43a03d742536f4cc3a77d262f5e6087ec1bbc2,52.446,13.378,0
ae72171b9166e168b735d7cd2d43a03d742536f4cc3a77d262f5e6087ec1bbc2,52.402,13.386,0
ae72171b9166e168b735d7cd2d43a03d742536f4cc3a77d262f5e6087ec1bbc2,52.526,13.263,0
44f1b5a3fcaf24fe2d126d5abccb61b52a4df57ef65b06f64eda8ab47c5f4fd7,52.514,13.271,0
44f1b5a3fcaf24fe2d126d5abccb61b52a4df57ef65b06f64eda8ab47c5f4fd7,52.514,13.271,0
44f1b5a3fcaf24fe2d126d5abccb61b52a4df57ef65b06f64eda8ab47c5f4fd7,52.519,13.3,87
44f1b5a3fcaf24fe2d126d5abccb61b52a4df57ef65b06f64eda8ab47c5f4fd7,52.509,13.272,90
8136e3ecb4dc1e2ddfb7f546866806f623f7966f91e92f0841f938ffd03a50cc,52.532,13.428,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.606,13.314,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.595,13.286,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.479,13.338,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.512,13.453,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.512,13.453,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.524,13.449,0
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.517,13.454,176
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.517,13.454,176
69fd5879baaf6d25bac4f1e00103736b6f356b998148b8017fffd85ef2c5ce88,52.502,13.415,0
ba3cc99465411c7c29798a4778667f06008bc71a6ea1e73e1dafabb031f7c601,52.458,13.223,0
ba3cc99465411c7c29798a4778667f06008bc71a6ea1e73e1dafabb031f7c601,52.511,13.291,0
ba3cc99465411c7c29798a4778667f06008bc71a6ea1e73e1dafabb031f7c601,52.523,13.411,206
c3a4eb6a132ad97736ccbfb0c934d69401418821a2f1584ceaa68b99022e87b2,52.44,13.602,0
c3a4eb6a132ad97736ccbfb0c934d69401418821a2f1584ceaa68b99022e87b2,52.499,13.62,0
c3a4eb6a132ad97736ccbfb0c934d69401418821a2f1584ceaa68b99022e87b2,52.447,13.594,0
c3a4eb6a132ad97736ccbfb0c934d69401418821a2f1584ceaa68b99022e87b2,52.46,13.572,0
f506fc2cba4b862598c078adcb1465e51501772c7c5b24438e4c77c446165f78,52.5,13.444,0
f506fc2cba4b862598c078adcb1465e51501772c7c5b24438e4c77c446165f78,52.501,13.466,0
bc2b735ad86e69b7cc273a101ef378c7146f6be6c610eae12bf67170766aef82,52.611,13.296,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.388,13.304,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.403,13.269,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.403,13.269,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.391,13.293,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.363,13.308,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.354,13.307,54
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.354,13.307,54
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.349,13.304,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.349,13.304,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.358,13.308,0
89f94096d92b560aeefcae9f98174cce18c267d9643dd1a2d39dc388ef8a7acb,52.356,13.303,0
6e748befdc782b364439841de2db7f5e9ca5647c5a47c775d478b92a73428045,52.548,13.429,0
6e748befdc782b364439841de2db7f5e9ca5647c5a47c775d478b92a73428045,52.561,13.422,0
6e748befdc782b364439841de2db7f5e9ca5647c5a47c775d478b92a73428045,52.544,13.438,0
6e748befdc782b364439841de2db7f5e9ca5647c5a47c775d478b92a73428045,52.572,13.429,0
c5dd55a64b1a7396f41a0fd5e89e64457d852e55da2a7df7639af295fc3834b0,52.418,13.743,0
cc6e5ec8d5b6cfb309261de8537b8f60ff1fce72945aa728e21ff885279b58d6,52.504,13.447,55
cc6e5ec8d5b6cfb309261de8537b8f60ff1fce72945aa728e21ff885279b58d6,52.518,13.412,206
cc6e5ec8d5b6cfb309261de8537b8f60ff1fce72945aa728e21ff885279b58d6,52.509,13.333,0
cc6e5ec8d5b6cfb309261de8537b8f60ff1fce72945aa728e21ff885279b58d6,52.524,13.301,0
6eaedb21b05f4c40f0718a6baaf827e77e5b08cdfce84ef0c7a358eeb501eabf,52.539,13.295,0
